vehicle,euroname,euroclass,technology,proportion,sourceCell,userCell,poltype,year,area
Diesel LGV,1Pre-Euro 1,0,Standard,0.0,I101,K101,PM,2015,England (not London)
Diesel LGV,2Euro 1,1,Standard,0.005631062950393152,I102,K102,PM,2015,England (not London)
Diesel LGV,3Euro 2,2,Standard,0.02200829649554501,I103,K103,PM,2015,England (not London)
Diesel LGV,4Euro 3,3,Standard,0.11753417225468002,I104,K104,PM,2015,England (not London)
Diesel LGV,5Euro 4,4,Standard,0.32084460992928465,I105,K105,PM,2015,England (not London)
Diesel LGV,6Euro 5,5,Standard,0.5339818583700972,I106,K106,PM,2015,England (not London)
Diesel LGV,7Euro 6,6,Standard,0.0,I107,K107,PM,2015,England (not London)
Diesel LGV,8Euro 1 DPFRF,1,DPF,0.0,I108,K108,PM,2015,England (not London)
Diesel LGV,9Euro 2 DPFRF,2,DPF,0.0,I109,K109,PM,2015,England (not London)
Diesel LGV,10Euro 3 DPFRF,3,DPF,0.0,I110,K110,PM,2015,England (not London)
Rigid HGV,1Pre-Euro I,0,Standard,0.0,I114,K114,PM,2015,England (not London)
Rigid HGV,2Euro I,1,Standard,0.007847340084610946,I115,K115,PM,2015,England (not London)
Rigid HGV,3Euro II,2,Standard,0.025783236340404806,I116,K116,PM,2015,England (not London)
Rigid HGV,4Euro III,3,Standard,0.14166244851838627,I117,K117,PM,2015,England (not London)
Rigid HGV,5Euro IV,4,Standard,0.13319226883691926,I118,K118,PM,2015,England (not London)
Rigid HGV,6Euro V_EGR,5,EGR,0.0892909781808371,I119,K119,PM,2015,England (not London)
Rigid HGV,7Euro V_SCR,5,SCR,0.2678729345425113,I120,K120,PM,2015,England (not London)
Rigid HGV,8Euro VI,6,Standard,0.3343507934963303,I121,K121,PM,2015,England (not London)
Rigid HGV,9Euro I DPFRF,1,DPF,0.0,I122,K122,PM,2015,England (not London)
Rigid HGV,10 Euro II DPFRF,2,DPF,0.0,I123,K123,PM,2015,England (not London)
Rigid HGV,11 Euro III DPFRF,3,DPF,0.0,I124,K124,PM,2015,England (not London)
Rigid HGV,12 Euro IV DPFRF,4,DPF,0.0,I125,K125,PM,2015,England (not London)
Artic HGV,1Pre-Euro I,0,Standard,0.0,I130,K130,PM,2015,England (not London)
Artic HGV,2Euro I,1,Standard,0.0008226179783190189,I131,K131,PM,2015,England (not London)
Artic HGV,3Euro II,2,Standard,0.0036497126333436512,I132,K132,PM,2015,England (not London)
Artic HGV,4Euro III,3,Standard,0.034704101386309694,I133,K133,PM,2015,England (not London)
