,year,euro,version,speed,vehicle,NOx (g/km/s/veh),PM10 (g/km/s/veh),PM2.5 (g/km/s/veh)
69,2013,1,7.0,50,7. Articulated HGVs,0.000113334055641,5.43289479538e-06,4.52564108855e-06
70,2013,1,7.0,60,1. Motorcycles,3.16944192491e-06,3.72371033563e-07,2.91472616709e-07
71,2013,1,7.0,60,2. Petrol Cars,5.55221731702e-06,3.38717427439e-07,1.86559020676e-07
72,2013,1,7.0,60,3. Diesel Cars,6.50182664685e-06,8.32049181554e-07,6.55224198454e-07
73,2013,1,7.0,60,4. LGV,1.11209310489e-05,1.0048842114e-06,7.63131879467e-07
74,2013,1,7.0,60,5. Buses and Coaches,7.59063113946e-05,3.81620475309e-06,3.04208720081e-06
75,2013,1,7.0,60,6. Rigid HGVs,6.46931439405e-05,3.44163913724e-06,2.70175701189e-06
76,2013,1,7.0,60,7. Articulated HGVs,0.000104002923763,5.20171397511e-06,4.30601903645e-06
77,2013,1,7.0,70,1. Motorcycles,3.66130188922e-06,3.72371033563e-07,2.91472616709e-07
78,2013,1,7.0,70,2. Petrol Cars,5.944849363e-06,3.38713817882e-07,1.86555610071e-07
79,2013,1,7.0,70,3. Diesel Cars,6.59478428133e-06,8.87619478362e-07,7.08015932105e-07
80,2013,1,7.0,70,4. LGV,1.10781211333e-05,1.08850315428e-06,8.42569875203e-07
81,2013,1,7.0,70,5. Buses and Coaches,7.14070556569e-05,3.64795778296e-06,2.88225260192e-06
82,2013,1,7.0,70,6. Rigid HGVs,6.32488372503e-05,3.29755562234e-06,2.56487737715e-06
83,2013,1,7.0,70,7. Articulated HGVs,9.68211243162e-05,5.1191818784e-06,4.22761377195e-06
84,2013,1,7.0,80,1. Motorcycles,4.23821074946e-06,3.72371033563e-07,2.91472616709e-07
85,2013,1,7.0,80,2. Petrol Cars,6.79177310303e-06,3.38709867265e-07,1.86551858405e-07
86,2013,1,7.0,80,3. Diesel Cars,6.85549230184e-06,9.84617031463e-07,8.00163718395e-07
87,2013,1,7.0,80,4. LGV,1.15713219202e-05,1.2494784869e-06,9.95496520773e-07
88,2013,1,7.0,80,5. Buses and Coaches,6.80013472447e-05,3.53426162292e-06,2.77424146589e-06
89,2013,1,7.0,80,6. Rigid HGVs,6.27756016911e-05,3.21061156683e-06,2.48228070632e-06
90,2013,1,7.0,80,7. Articulated HGVs,9.10867966013e-05,4.92284334541e-06,4.04109232477e-06
91,2013,1,7.0,90,1. Motorcycles,4.88505475005e-06,3.72371033563e-07,2.91472616709e-07
92,2013,1,7.0,90,2. Petrol Cars,8.03231432656e-06,3.39224612844e-07,1.87040853916e-07
